vx_input,vy_input,vx_output,vy_output
-400,-400,9.0,11.0
-400,-400,9.0,9.0
-400,-400,-4.0,-3.0
-400,-400,-4.0,-3.0
-400,-400,-4.0,-2.0
-400,-400,-12.0,-12.0
-400,-400,-11.0,-10.0
-400,-400,-11.0,-8.0
-400,-400,-12.0,-11.0
-400,-400,-11.0,-11.0
-400,-400,-9.0,-7.0
-400,-400,-12.0,-11.0
-400,-400,-11.0,-10.0
-400,-400,-13.0,-9.0
-400,-400,-11.0,-10.0
-400,-400,-11.0,-11.0
-400,-400,-9.0,-7.0
-400,-400,-11.0,-12.0
-400,-400,-11.0,-12.0
-400,-400,-11.0,-11.0
-400,-400,-13.0,-10.0
-400,-400,-10.0,-11.0
-400,-400,-12.0,-9.0
-400,-400,-11.0,-11.0
-400,-400,-10.0,-13.0
-400,-400,-9.0,-7.0
-400,-400,-11.0,-10.0
-400,-400,-11.0,-12.0
-400,-400,-12.0,-10.0
450,450,-13.0,-7.0
450,450,-8.0,-13.0
450,450,-11.0,-7.0
450,450,5.0,6.0
450,450,-1.0,-3.0
450,450,4.0,3.0
450,450,11.0,10.0
450,450,10.0,13.0
450,450,11.0,9.0
450,450,11.0,10.0
450,450,11.0,11.0
450,450,10.0,8.0
450,450,10.0,9.0
450,450,11.0,13.0
450,450,9.0,7.0
450,450,13.0,9.0
450,450,12.0,10.0
450,450,10.0,8.0
450,450,12.0,9.0
450,450,10.0,12.0
450,450,12.0,9.0
450,450,12.0,8.0
450,450,12.0,10.0
450,450,10.0,7.0
450,450,14.0,8.0
450,450,12.0,10.0
450,450,11.0,9.0
450,450,13.0,8.0
450,450,12.0,10.0
450,450,10.0,8.0
-450,-450,10.0,10.0
-450,-450,10.0,10.0
-450,-450,11.0,9.0
-450,-450,-1.0,-1.0
-450,-450,-4.0,-4.0
-450,-450,-2.0,-3.0
-450,-450,-12.0,-11.0
-450,-450,-12.0,-10.0
-450,-450,-11.0,-8.0
-450,-450,-13.0,-10.0
-450,-450,-11.0,-11.0
-450,-450,-11.0,-8.0
-450,-450,-12.0,-11.0
-450,-450,-11.0,-11.0
-450,-450,-10.0,-9.0
-450,-450,-12.0,-9.0
-450,-450,-11.0,-11.0
-450,-450,-9.0,-9.0
-450,-450,-13.0,-10.0
-450,-450,-11.0,-11.0
-450,-450,-9.0,-10.0
-450,-450,-12.0,-10.0
-450,-450,-10.0,-13.0
-450,-450,-10.0,-8.0
-450,-450,-11.0,-11.0
-450,-450,-10.0,-12.0
-450,-450,-10.0,-8.0
-450,-450,-11.0,-12.0
-450,-450,-11.0,-13.0
-450,-450,-10.0,-10.0
500,500,-14.0,-5.0
500,500,-8.0,-12.0
500,500,-10.0,-10.0
500,500,4.0,8.0
500,500,5.0,8.0
500,500,3.0,4.0
500,500,10.0,12.0
500,500,10.0,13.0
500,500,8.0,11.0
500,500,14.0,5.0
